Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70610790,-3133,1111,11234,49,46,-100,geo,70610741,-248,182,-218
ags,70610800,-3084,1123,11219,27,62,-78,geo,70610751,-248,175,-223
ags,70610810,-3108,1138,11266,39,71,-82,geo,70610761,-248,187,-220
ags,70610820,-3145,1125,11241,42,52,-51,geo,70610771,-245,177,-221
ags,70610830,-3099,1125,11249,45,46,-78,geo,70610781,-247,178,-226
ags,70610840,-3157,1177,11258,27,62,-63,geo,70610791,-248,183,-221
ags,70610850,-3138,1162,11227,33,49,-85,geo,70610801,-243,185,-223
ags,70610860,-3118,1130,11300,24,55,-78,geo,70610811,-247,180,-223
ags,70610870,-3125,1177,11246,61,83,-88,geo,70610821,-247,177,-221
ags,70610880,-3121,1150,11258,39,74,-63,geo,70610831,-243,178,-223
ags,70610890,-3111,1162,11244,58,46,-72,geo,70610841,-245,180,-221
ags,70610900,-3121,1169,11241,49,65,-78,geo,70610851,-248,180,-221
ags,70610910,-3147,1157,11236,58,37,-69,geo,70610861,-248,182,-220
ags,70610920,-3167,1125,11227,49,80,-85,geo,70610871,-243,173,-220
ags,70610930,-3135,1150,11253,39,49,-82,geo,70610881,-242,177,-218
ags,70610940,-3133,1145,11244,45,62,-85,geo,70610891,-243,173,-220
ags,70610950,-3108,1123,11275,33,43,-48,geo,70610901,-245,175,-218
ags,70610960,-3130,1111,11285,39,55,-72,geo,70610911,-245,173,-220
ags,70610970,-3138,1133,11271,30,65,-72,geo,70610921,-247,173,-220
ags,70610980,-3121,1133,11256,30,62,-48,geo,70610931,-245,180,-220
ags,70610990,-3147,1125,11300,52,55,-72,geo,70610941,-243,178,-221
ags,70611000,-3130,1142,11275,42,43,-69,geo,70610951,-245,173,-220
ags,70611010,-3147,1125,11244,42,46,-72,geo,70610961,-243,175,-221
ags,70611020,-3116,1101,11285,58,62,-75,geo,70610971,-243,168,-220
ags,70611030,-3096,1150,11241,33,34,-66,geo,70610981,-247,180,-220
ags,70611040,-3133,1147,11266,58,49,-91,geo,70610991,-247,178,-220
ags,70611050,-3133,1120,11268,49,46,-66,geo,70611001,-245,175,-223
ags,70611060,-3074,1167,11229,39,62,-82,geo,70611011,-243,175,-220
ags,70611070,-3162,1125,11231,39,55,-72,geo,70611021,-243,178,-220
ags,70611080,-3162,1164,11249,24,71,-75,geo,70611031,-256,192,-243
ags,70611090,-3167,1125,11253,52,52,-82,geo,70611041,-243,168,-223
ags,70611100,-3130,1152,11292,49,62,-54,geo,70611051,-245,180,-218
ags,70611110,-3121,1135,11217,39,65,-66,geo,70611061,-243,172,-221
ags,70611120,-3130,1150,11280,33,55,-82,geo,70611071,-245,178,-221
ags,70611130,-3155,1098,11302,58,59,-51,geo,70611081,-247,178,-220
ags,70611140,-3133,1108,11271,45,49,-78,geo,70611091,-245,180,-220
ags,70611150,-3138,1138,11251,39,71,-75,geo,70611101,-243,182,-221
ags,70611160,-3135,1133,11239,39,65,-75,geo,70611111,-245,178,-223
ags,70611170,-3130,1150,11234,49,59,-66,geo,70611121,-245,177,-225
ags,70611180,-3128,1123,11200,58,52,-91,geo,70611131,-247,173,-223
ags,70611190,-3111,1189,11212,30,52,-69,geo,70611141,-247,183,-223
ags,70611200,-3074,1125,11302,45,77,-60,geo,70611151,-243,182,-221
ags,70611210,-3125,1145,11253,33,68,-60,geo,70611161,-247,180,-220
ags,70611220,-3125,1128,11249,30,71,-57,geo,70611171,-248,173,-218
ags,70611230,-3125,1118,11190,30,65,-66,geo,70611181,-247,173,-220
ags,70611240,-3111,1116,11266,52,55,-82,geo,70611191,-250,180,-220
ags,70611250,-3143,1130,11275,24,49,-63,geo,70611201,-242,178,-223
ags,70611260,-3086,1150,11268,55,49,-69,geo,70611211,-250,180,-220
ags,70611270,-3155,1194,11256,42,55,-85,geo,70611221,-247,172,-221
ags,70611280,-3150,1101,11190,42,83,-69,geo,70611230,-248,180,-220
