,RASI_X,RASI_Y,RASI_Z,LASI_X,LASI_Y,LASI_Z,RPSI_X,RPSI_Y,RPSI_Z,LPSI_X,LPSI_Y,LPSI_Z,RKNE_X,RKNE_Y,RKNE_Z,LKNE_X,LKNE_Y,LKNE_Z,RANK_X,RANK_Y,RANK_Z,LANK_X,LANK_Y,LANK_Z,RTOE_X,RTOE_Y,RTOE_Z,LTOE_X,LTOE_Y,LTOE_Z,RHEE_X,RHEE_Y,RHEE_Z,LHEE_X,LHEE_Y,LHEE_Z,RKNE2_X,RKNE2_Y,RKNE2_Z,LKNE2_X,LKNE2_Y,LKNE2_Z,RANK2_X,RANK2_Y,RANK2_Z,LANK2_X,LANK2_Y,LANK2_Z
168,-25.803,636.473,940.977,-26.734,402.077,950.539,135.047,561.813,967.709,137.177,474.365,971.246,73.872,675.518,474.216,72.491,349.208,476.307,124.837,677.911,80.599,118.354,351.169,79.682,-69.222,664.617,50.65,-71.197,366.112,51.547,184.938,619.336,57.482,183.199,401.002,49.447,75.321,568.989,455.054,77.875,459.916,469.192,102.685,592.549,100.09,85.884,437.396,101.65
169,-25.874,636.475,940.986,-26.806,402.089,950.53,134.971,561.83,967.705,137.105,474.335,971.226,73.806,675.587,474.281,72.466,349.265,476.281,124.818,677.874,80.567,118.353,351.169,79.682,-69.255,664.631,50.665,-71.216,366.136,51.527,184.941,619.361,57.48,183.194,400.977,49.448,75.29,568.99,455.037,77.816,459.922,469.176,102.704,592.531,100.107,85.841,437.39,101.672
170,-25.981,636.475,940.962,-26.91,402.085,950.529,134.869,561.839,967.72,137.019,474.359,971.257,73.773,675.652,474.293,72.402,349.26,476.282,124.839,677.916,80.62,118.353,351.169,79.682,-69.238,664.635,50.669,-71.23,366.135,51.526,184.934,619.35,57.475,183.191,400.933,49.465,75.274,569.014,455.029,77.785,459.944,469.183,102.718,592.526,100.11,85.851,437.406,101.658
171,-26.039,636.496,940.972,-27.006,402.103,950.533,134.79,561.825,967.719,136.927,474.394,971.272,73.755,675.592,474.249,72.37,349.241,476.29,124.81,677.911,80.59,118.359,351.239,79.641,-69.231,664.621,50.624,-71.23,366.135,51.526,184.929,619.355,57.492,183.199,401.004,49.423,75.239,568.976,455.041,77.735,459.949,469.153,102.712,592.565,100.095,85.845,437.393,101.636
172,-26.122,636.507,940.96,-27.054,402.08,950.536,134.716,561.813,967.718,136.852,474.321,971.27,73.697,675.622,474.272,72.344,349.285,476.269,124.814,677.868,80.578,118.356,351.204,79.661,-69.236,664.61,50.654,-71.232,366.185,51.571,184.929,619.329,57.518,183.194,400.977,49.448,75.223,568.999,455.034,77.646,459.898,469.092,102.705,592.56,100.097,85.845,437.393,101.636
173,-26.202,636.505,940.956,-27.138,402.109,950.524,134.632,561.81,967.751,136.781,474.338,971.301,73.705,675.583,474.229,72.32,349.275,476.268,124.834,677.937,80.62,118.354,351.167,79.705,-69.226,664.65,50.636,-71.216,366.16,51.549,184.92,619.345,57.513,183.192,400.984,49.476,75.216,569.006,455.065,77.653,459.951,469.175,102.703,592.576,100.077,85.831,437.413,101.638
174,-26.288,636.499,940.951,-27.256,402.097,950.54,134.588,561.792,967.763,136.699,474.389,971.286,73.673,675.635,474.253,72.273,349.294,476.288,124.811,677.895,80.601,118.324,351.203,79.676,-69.252,664.597,50.636,-71.215,366.136,51.527,184.916,619.337,57.509,183.194,400.975,49.472,75.185,569.007,455.048,77.614,459.894,469.144,102.68,592.584,100.094,85.835,437.377,101.649
175,-26.364,636.521,940.941,-27.316,402.154,950.515,134.483,561.826,967.768,136.62,474.339,971.301,73.647,675.614,474.252,72.218,349.265,476.279,124.811,677.92,80.631,118.326,351.24,79.632,-69.242,664.629,50.651,-71.229,366.135,51.526,184.925,619.33,57.507,183.166,401.005,49.437,75.16,569.035,455.043,77.614,459.895,469.144,102.667,592.541,100.12,85.845,437.393,101.635
176,-26.43,636.534,940.905,-27.414,402.167,950.51,134.418,561.836,967.771,136.562,474.435,971.307,73.615,675.665,474.275,72.207,349.269,476.291,124.811,677.896,80.602,118.355,351.165,79.728,-69.246,664.622,50.633,-71.197,366.136,51.526,184.937,619.35,57.521,183.161,400.976,49.486,75.13,569.037,455.025,77.583,459.891,469.196,102.684,592.554,100.115,85.819,437.37,101.618
177,-26.494,636.523,940.907,-27.494,402.163,950.497,134.339,561.835,967.794,136.496,474.401,971.32,73.589,675.644,474.274,72.2,349.27,476.313,124.809,677.875,80.592,118.351,351.132,79.725,-69.25,664.656,50.62,-71.212,366.159,51.505,184.919,619.324,57.512,183.194,400.975,49.471,75.108,568.978,455.061,77.561,459.913,469.189,102.661,592.548,100.133,85.823,437.334,101.629
